,symbol,smallSMA,bigSMA,totalWin,pctWinPerMonth,pctWinPerYear,avgTrade,medTrade,nrTrades,timestamp
0,AVAXUSDT,145.0,298.0,5212.31,52.12,62547.72,10931.75,2987.83,15.0,2022-03-30 07:34:46.212752
1,BNBUSDT,90.0,288.0,335.88,3.36,4030.58,-7248.34,-1005.33,14.0,2022-03-30 07:34:46.212752
2,ETHUSDT,85.0,150.0,287.9,2.88,3454.8,-3550.65,1778.65,30.0,2022-03-30 07:34:46.212752
3,XRPUSDT,133.0,282.0,214.2,2.14,2570.44,-925.07,730.55,13.0,2022-03-30 07:34:46.212752
