,id,price,quoteQty,isBestMatch,qty,isBuyerMaker,pricepct,pricesign,target
10156,163641384,95.57,489.3184,True,5.12,True,0.0,0.0,1.0
10155,163641385,95.57,110.8612,True,1.16,True,0.0,0.0,1.0
10154,163641386,95.58,37.2762,True,0.39,False,0.0001046353458198368,1.0,1.0
10153,163641387,95.61,104.2149,True,1.09,True,0.00031387319522924173,1.0,1.0
10152,163641388,95.62,150.1234,True,1.57,False,0.00010459156991959873,1.0,1.0
10151,163641389,95.64,114.768,True,1.2,True,0.00020916126333392349,1.0,1.0
10150,163641390,95.64,325.176,True,3.4,True,0.0,0.0,1.0
10149,163641391,95.64,3404.784,True,35.6,True,0.0,0.0,1.0
10148,163641392,95.65,22.956,True,0.24,False,0.00010455876202430936,1.0,1.0
10147,163641393,95.65,65.042,True,0.68,False,0.0,0.0,1.0
10146,163641394,95.65,43.999,True,0.46,False,0.0,0.0,1.0
10145,163641395,95.66,49.7432,True,0.52,False,0.0001045478306325176,1.0,1.0
10144,163641396,95.66,7.6528,True,0.08,False,0.0,0.0,1.0
10143,163641397,95.66,124.358,True,1.3,False,0.0,0.0,1.0
10142,163641398,95.65,148.2575,True,1.55,True,-0.00010453690152611994,-1.0,-1.0
10141,163641399,95.65,37.3035,True,0.39,True,0.0,0.0,-1.0
10140,163641400,95.69,54.5433,True,0.57,False,0.0004181913225300704,1.0,1.0
10139,163641401,95.68,58.3648,True,0.61,True,-0.00010450412791296326,-1.0,-1.0
10138,163641402,95.68,95.68,True,1.0,True,0.0,0.0,-1.0
10137,163641403,95.68,1327.0816,True,13.87,True,0.0,0.0,-1.0
10136,163641404,95.68,84.1984,True,0.88,True,0.0,0.0,-1.0
10135,163641405,95.68,1365.3536,True,14.27,True,0.0,0.0,-1.0
10134,163641406,95.68,999.856,True,10.45,False,0.0,0.0,-1.0
10133,163641407,95.68,3226.3296,True,33.72,False,0.0,0.0,-1.0
10132,163641408,95.68,75.5872,True,0.79,False,0.0,0.0,-1.0
10131,163641409,95.68,463.0912,True,4.84,False,0.0,0.0,-1.0
10130,163641410,95.68,99.5072,True,1.04,False,0.0,0.0,-1.0
10129,163641411,95.68,1001.7696,True,10.47,False,0.0,0.0,-1.0
10128,163641412,95.68,324.3552,True,3.39,False,0.0,0.0,-1.0
10127,163641413,95.68,1030.4736,True,10.77,True,0.0,0.0,-1.0
10126,163641414,95.68,752.0448,True,7.86,True,0.0,0.0,-1.0
10125,163641415,95.68,236.3296,True,2.47,True,0.0,0.0,-1.0
10124,163641416,95.68,752.0448,True,7.86,True,0.0,0.0,-1.0
10123,163641417,95.67,147.3318,True,1.54,True,-0.00010451505016728646,-1.0,-1.0
10122,163641418,95.67,2104.74,True,22.0,True,0.0,0.0,-1.0
10121,163641419,95.67,1331.7264,True,13.92,False,0.0,0.0,-1.0
10120,163641420,95.67,670.6467,True,7.01,False,0.0,0.0,-1.0
10119,163641421,95.66,499.3452,True,5.22,False,-0.00010452597470478331,-1.0,-1.0
10118,163641422,95.65,249.6465,True,2.61,True,-0.00010453690152611994,-1.0,-1.0
10117,163641423,95.65,50.6945,True,0.53,True,0.0,0.0,-1.0
10116,163641424,95.65,11.478,True,0.12,True,0.0,0.0,-1.0
10115,163641425,95.64,10.5204,True,0.11,True,-0.0001045478306325176,-1.0,-1.0
10114,163641426,95.64,4997.19,True,52.25,True,0.0,0.0,-1.0
10113,163641427,95.64,143.46,True,1.5,True,0.0,0.0,-1.0
10112,163641440,95.57,3089.7781,True,32.33,True,-0.0007319113341698325,-1.0,-1.0
10111,163641441,95.57,1071.3397,True,11.21,True,0.0,0.0,-1.0
10110,163641442,95.57,5828.8143,True,60.99,True,0.0,0.0,-1.0
10109,163641443,95.57,399.4826,True,4.18,True,0.0,0.0,-1.0
10108,163641444,95.56,87.9152,True,0.92,True,-0.00010463534581972578,-1.0,-1.0
10107,163641445,95.56,399.4408,True,4.18,True,0.0,0.0,-1.0
10106,163641446,95.55,101.283,True,1.06,True,-0.00010464629552120464,-1.0,-1.0
10105,163641447,95.55,3057.6,True,32.0,True,0.0,0.0,-1.0
10104,163641448,95.55,2866.5,True,30.0,True,0.0,0.0,-1.0
10103,163641449,95.55,984.165,True,10.3,True,0.0,0.0,-1.0
10102,163641450,95.55,1231.6395,True,12.89,True,0.0,0.0,-1.0
10101,163641451,95.55,5274.36,True,55.2,True,0.0,0.0,-1.0
10100,163641452,95.55,2082.0345,True,21.79,True,0.0,0.0,-1.0
10099,163641453,95.55,2633.358,True,27.56,True,0.0,0.0,-1.0
10098,163641454,95.55,648.7845,True,6.79,True,0.0,0.0,-1.0
10097,163641455,95.55,610.5645,True,6.39,True,0.0,0.0,-1.0
10096,163641456,95.55,4595.955,True,48.1,True,0.0,0.0,-1.0
10095,163641457,95.55,286.65,True,3.0,True,0.0,0.0,-1.0
10094,163641458,95.54,49.6808,True,0.52,True,-0.00010465724751429484,-1.0,-1.0
10093,163641459,95.54,596.1696,True,6.24,True,0.0,0.0,-1.0
10092,163641460,95.54,12.4202,True,0.13,False,0.0,0.0,-1.0
10091,163641461,95.53,194.8812,True,2.04,True,-0.00010466820180032865,-1.0,-1.0
10090,163641462,95.53,286.59,True,3.0,True,0.0,0.0,-1.0
10089,163641463,95.53,22.9272,True,0.24,True,0.0,0.0,-1.0
10088,163641464,95.53,368.7458,True,3.86,True,0.0,0.0,-1.0
10087,163641465,95.53,2271.7034,True,23.78,True,0.0,0.0,-1.0
10086,163641466,95.52,21.9696,True,0.23,True,-0.00010467915837963915,-1.0,-1.0
10085,163641467,95.52,13.3728,True,0.14,True,0.0,0.0,-1.0
10084,163641468,95.52,24.8352,True,0.26,True,0.0,0.0,-1.0
10083,163641469,95.52,328.5888,True,3.44,True,0.0,0.0,-1.0
10082,163641470,95.52,134.6832,True,1.41,True,0.0,0.0,-1.0
10081,163641471,95.51,499.5173,True,5.23,True,-0.00010469011725278143,-1.0,-1.0
10080,163641472,95.51,286.53,True,3.0,True,0.0,0.0,-1.0
10079,163641473,95.51,21.9673,True,0.23,True,0.0,0.0,-1.0
10078,163641474,95.5,95.5,True,1.0,True,-0.0001047010784211988,-1.0,-1.0
10077,163641475,95.5,15.28,True,0.16,True,0.0,0.0,-1.0
10076,163641476,95.5,41.065,True,0.43,True,0.0,0.0,-1.0
10075,163641477,95.5,10.505,True,0.11,True,0.0,0.0,-1.0
10074,163641478,95.5,66.85,True,0.7,True,0.0,0.0,-1.0
10073,163641479,95.5,13.37,True,0.14,True,0.0,0.0,-1.0
10072,163641480,95.5,15.28,True,0.16,True,0.0,0.0,-1.0
10071,163641481,95.5,39.155,True,0.41,True,0.0,0.0,-1.0
10070,163641482,95.5,56.345,True,0.59,True,0.0,0.0,-1.0
10069,163641483,95.5,63.985,True,0.67,True,0.0,0.0,-1.0
10068,163641503,95.49,572.94,True,6.0,True,-0.00010471204188489125,-1.0,-1.0
10067,163641504,95.48,13.3672,True,0.14,True,-0.00010472300764463593,-1.0,-1.0
10066,163641505,95.48,332.2704,True,3.48,True,0.0,0.0,-1.0
10065,163641506,95.48,301.7168,True,3.16,True,0.0,0.0,-1.0
10064,163641507,95.47,381.88,True,4.0,True,-0.00010473397570176513,-1.0,-1.0
10063,163641508,95.47,271.1348,True,2.84,True,0.0,0.0,-1.0
10062,163641509,95.47,20.0487,True,0.21,True,0.0,0.0,-1.0
10061,163641510,95.47,510.7645,True,5.35,True,0.0,0.0,-1.0
10060,163641511,95.47,332.2356,True,3.48,True,0.0,0.0,-1.0
10059,163641512,95.47,525.085,True,5.5,True,0.0,0.0,-1.0
10058,163641513,95.47,304.5493,True,3.19,True,0.0,0.0,-1.0
10057,163641514,95.47,302.6399,True,3.17,True,0.0,0.0,-1.0
10056,163641515,95.47,1135.1383,True,11.89,False,0.0,0.0,-1.0
10055,163641516,95.47,9210.9456,True,96.48,False,0.0,0.0,-1.0
10054,163641517,95.47,242.4938,True,2.54,False,0.0,0.0,-1.0
10053,163641518,95.47,99.2888,True,1.04,False,0.0,0.0,-1.0
10052,163641519,95.47,3984.9178,True,41.74,False,0.0,0.0,-1.0
10051,163641520,95.47,1681.2267,True,17.61,False,0.0,0.0,-1.0
10050,163641521,95.47,95.47,True,1.0,False,0.0,0.0,-1.0
10049,163641522,95.47,532.7226,True,5.58,False,0.0,0.0,-1.0
10048,163641526,95.47,99.2888,True,1.04,True,0.0,0.0,-1.0
10047,163641527,95.47,9184.214,True,96.2,True,0.0,0.0,-1.0
10046,163641528,95.46,15.2736,True,0.16,True,-0.00010474494605638984,-1.0,-1.0
10045,163641529,95.46,17.1828,True,0.18,True,0.0,0.0,-1.0
10044,163641530,95.46,241.5138,True,2.53,True,0.0,0.0,-1.0
10043,163641531,95.46,302.6082,True,3.17,True,0.0,0.0,-1.0
10042,163641532,95.46,50.5938,True,0.53,True,0.0,0.0,-1.0
10041,163641533,95.46,87.8232,True,0.92,True,0.0,0.0,-1.0
10040,163641534,95.46,100.233,True,1.05,False,0.0,0.0,-1.0
10039,163641535,95.45,49.634,True,0.52,True,-0.00010475591870928724,-1.0,-1.0
10038,163641536,95.45,118.358,True,1.24,True,0.0,0.0,-1.0
10037,163641537,95.45,1909.0,True,20.0,True,0.0,0.0,-1.0
10036,163641538,95.44,11.4528,True,0.12,True,-0.00010476689366167857,-1.0,-1.0
10035,163641539,95.44,13.3616,True,0.14,True,0.0,0.0,-1.0
10034,163641540,95.44,21.9512,True,0.23,True,0.0,0.0,-1.0
10033,163641541,95.44,228.1016,True,2.39,True,0.0,0.0,-1.0
10032,163641542,95.44,3518.8728,True,36.87,True,0.0,0.0,-1.0
10031,163641543,95.44,6565.3176,True,68.79,True,0.0,0.0,-1.0
10030,163641544,95.44,1908.8,True,20.0,True,0.0,0.0,-1.0
10029,163641545,95.44,221.4208,True,2.32,False,0.0,0.0,-1.0
10028,163641586,95.39,1907.8,True,20.0,False,-0.0005238893545682632,-1.0,-1.0
