t,nvt_v,nvts_v,velocity_v,asol_v,msol_v,average_dormancy_v,liveliness_v,unrealized_profit_v,ssr_o,ssr_oscillator_v,bvin_v,investor_capitalization_v,sopr_adjusted,rhodl_ratio,cvdd,balanced_price_usd,hash_ribbon,difficulty_ribbon,puell_multiple,reserve_risk,hodler_net_position_change,cyd_supply_adjusted,stock_to_flow_ratio,soab,sol_1h,sol_more_10y,svab,pi_cycle_top
1606780800,28.166162143762644,48.67916237122134,0.035503594522246565,28.7118730300724,4.54967592592593,50.59910756734806,0.623235813767111,0.562502693297681,"{'h': 3.60675213538382, 'l': 1.4710368292139397, 'v': 2.7409985853397827}",0.37852255393224565,0.8462000000000001,24395212186.252865,,,,,,,,,,,,,,,,
1606867200,47.31125824553408,49.87510193225731,0.021136618155666878,28.0623066564892,4.25884095601737,51.495358203875796,0.624024817280243,0.567160247961812,"{'h': 3.6088520789074785, 'l': 1.4746336197441081, 'v': 2.7550336382912586}",0.3997543701296197,0.8195,24573930343.3193,,,,,,,,,,,,,,,,
1606953600,48.381705640860396,51.859187892481955,0.020668969536192988,27.9589718949646,4.27546808101789,40.66956743984171,0.624200359998839,0.577352032781556,"{'h': 3.6117236631314467, 'l': 1.4775547001343772, 'v': 2.8305447596794293}",0.5358630605235917,0.8159000000000001,24690234520.55022,,,,,,,,,,,,,,,,
1607040000,43.97301300185253,48.33193781607337,0.022741220847383625,26.5702630154272,4.43513776203824,33.499186344699325,0.624274321927057,0.547724104282804,"{'h': 3.6127550684516088, 'l': 1.4793487836524808, 'v': 2.6146239008789385}",0.12856805628722567,0.7881,24811024842.35997,,,,,,,,,,,,,,,,
1607126400,64.06824700936664,50.68434915075049,0.015608355881093518,26.2109696053118,4.23033447511494,37.38812433109883,0.624286052205049,0.563251555237008,"{'h': 3.6144484556922767, 'l': 1.481422878044285, 'v': 2.7084224726658013}",0.3009561769521456,0.8008,24888422089.237648,,,,,,,,,,,,,,,,
1607212800,74.07369978586846,51.423600914905506,0.013500068214370154,27.9362895878398,4.23571524490637,34.19471389720559,0.624201525655392,0.566749148374454,"{'h': 3.616309768415453, 'l': 1.4839618869508207, 'v': 2.7279947828637154}",0.333639659319405,0.8161,24952486621.833557,,,,,,,,,,,,,,,,
1607299200,42.05477987697975,50.489158456431305,0.02377850990839182,27.6269500740132,4.80147334872573,99.63727454196933,0.624498080261399,0.558095701663768,"{'h': 3.6176751463523367, 'l': 1.4877103372025848, 'v': 2.6829643587034058}",0.24464557605146048,0.8061,25043847358.730743,,,,,,,,,,,,,,,,
1607385600,45.46903065504802,47.2940255267547,0.021992991396419376,26.4778802908706,4.77979884305486,39.05172121765073,0.625234704978649,0.533452762522211,"{'h': 3.618147190065889, 'l': 1.4898868093871507, 'v': 2.5145092695079017}",-0.07425356516953682,0.7735,25184404147.742302,,,,,,,,,,,,,,,,
1607472000,34.33444355351698,49.00320961948148,0.029125271782584842,25.141271210885,4.26406244376191,30.98808726082946,0.62548258807413,0.54394299723847,"{'h': 3.6190442103730387, 'l': 1.4923646360109821, 'v': 2.599037483339579}",0.0815036936828012,0.737,25294864991.173363,,,,,,,,,,,,,,,,
1607558400,38.40595121997162,47.94202807322147,0.026037631362714076,27.6561432408624,4.2140162037037,28.29621781449474,0.625538736086395,0.534755745413837,"{'h': 3.6195421483250207, 'l': 1.495177130529493, 'v': 2.5362908567882267}",-0.039670739185666645,0.7559999999999999,25365555989.51894,,,,,,,,,,,,,,,,
1607644800,39.10335004178415,46.72631933241478,0.025573256483944297,27.784298717284,3.79533033205955,22.853628008025545,0.625558040975062,0.525094551070062,"{'h': 3.619797340779275, 'l': 1.4972952703331515, 'v': 2.4682709186833414}",-0.1701301273244879,0.7308,25418877068.6396,,,,,,,,,,,,,,,,
1607731200,66.09756895080649,48.845022743067005,0.015129149466060636,25.5718051976069,3.8033991555566,18.053413959425683,0.62542154707367,0.539335756618509,"{'h': 3.6203572461315012, 'l': 1.5002801155084502, 'v': 2.5552750388503775}",-0.00951595938986583,0.705,25452416789.419746,,,,,,,,,,,,,,,,
1607817600,69.52207546147464,51.16308204870571,0.01438392040747037,25.4921525060272,4.03637254340229,33.720135583907904,0.625242352885909,0.553525372030352,"{'h': 3.621484726881349, 'l': 1.5030162282486264, 'v': 2.6441676459293046}",0.1546724313666915,0.7378,25489180666.90561,,,,,,,,,,,,,,,,
1607904000,54.69785447576356,50.960065650013306,0.018282252742529356,25.4822056151488,4.1546047309041,88.15780700628682,0.625432305739229,0.549234550279158,"{'h': 3.6224196300980323, 'l': 1.5045133194430989, 'v': 2.623252284402436}",0.1129149279759834,0.7301000000000001,25566851229.90537,,,,,,,,,,,,,,,,
1607990400,47.55901112013769,51.430436673390005,0.021026509518331314,23.8672596827275,3.94015100231601,55.971927824981385,0.625967303424561,0.550165217382578,"{'h': 3.6234775916563473, 'l': 1.5060188437254107, 'v': 2.646065478884923}",0.15361293111094185,0.736,25695520871.935944,,,,,,,,,,,,,,,,
1608076800,35.283368581764776,55.67184606849619,0.0283419650729387,27.9862560377236,4.62396470902695,23.40870012680906,0.626063914894438,0.579071526691774,"{'h': 3.625360410446323, 'l': 1.5063934596915385, 'v': 2.8550828154735712}",0.5459375009159524,0.84,25790642048.96363,,,,,,,,,,,,,,,,
